"Numer RSPO";Typ;Nazwa;Ulica;"Numer budynku";"Numer lokalu";"Kod pocztowy";Miejscowość;"Kod terytorialny ulica";"Kod terytorialny miejscowosc";"Kod terytorialny gmina";Telefon;Faks;E-mail;"Strona www";Województwo;Powiat;Gmina;REGON;NIP;"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Nazwa organu prowadzącego";"Typ organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego";"Data założenia";"Data likwidacji";"Miejsce w strukturze";"Typ podmiotu nadrzędnego";"RSPO podmiotu nadrzędnego";"Nazwa podmiotu nadrzędnego"
57375;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 29 IM. KASZTANOWA KRAINA W GORZOWIE WLKP.";"ul. Walerego Wróblewskiego";"48 ";" ";"66-400 ";"Gorzów Wielkopolski";24838;0935140;0861011;"957353777 ";" ";p29@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"080485660 ";"5993137160 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Barbara Jasiczak";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2010-05-26;;samodzielna;;;
107103;Przedszkole;"PRZEDSZKOLE NIEPUBLICZNE DZIECIĘCY RAJ";"ul. Osadnicza";"3 ";" ";"66-400 ";"Gorzów Wielkopolski";15227;0935140;0861011;"535355292 ";" ";dyrektor@razem.edu.pl;http://www.razem.edu.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"081106422 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Piotr Zwierzchlewski";"STOWARZYSZENIE EDUKACYJNE ""RAZEM""";Stowarzyszenia;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2012-08-14;;samodzielna;;;
57369;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 20 IM. PRZYJACIÓŁ PRZYRODY W GORZOWIE WLKP.";"ul. Franciszka Walczaka";"47 ";" ";"66-400 ";"Gorzów Wielkopolski";23519;0935140;0861011;"957323770 ";" ";p20@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"080485110 ";"5993136769 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Maria Wieczorek";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2010-05-26;;samodzielna;;;
71142;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA NR 5 IM. BOHATERÓW 12 KOŁOBRZESKIEGO PUŁKU PIECHOTY W GORZOWIE WLKP.";"al. Aleja Konstytucji 3 Maja";"44 ";" ";"66-400 ";"Gorzów Wielkopolski";41128;0935140;0861011;"957226589 ";" ";sp5@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"210202882 ";"5991234657 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Małgorzata Dolata";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1994-01-01;;samodzielna;;;
71656;"Młodzieżowy dom kultury";"MŁODZIEŻOWY DOM KULTURY W GORZOWIE WLKP.";"ul. Teatralna";"8 ";" ";"66-400 ";"Gorzów Wielkopolski";22723;0935140;0861011;"957228575 ";" ";mdk@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"210203083 ";"5991113770 ";publiczna;"Bez kategorii";"brak specyfiki";"Krzysztof Szupiluk";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1994-01-01;;samodzielna;;;
114107;"Liceum ogólnokształcące";"KATOLICKIE LICEUM ŚW. TOMASZA Z AKWINU";"ul. Michała Drzymały";"36 ";" ";"66-400 ";"Gorzów Wielkopolski";04317;0935140;0861011;"957225091 ";" ";katolik@swtomasz.edu.pl;http://www.swtomasz.edu.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"081128978 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Marek Robak";"TOWARZYSTWO SZKOŁY KATOLICKIEJ";Stowarzyszenia;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1991-09-01;;samodzielna;;;
107489;"Szkoła policealna";"SZKOŁA POLICEALNA COSINUS W GORZOWIE WIELKOPOLSKIM";"ul. Franciszka Walczaka";"25 ";" ";"66-400 ";"Gorzów Wielkopolski";23519;0935140;0861011;"957258544 ";" ";gorzow@cosinus.pl;http://www.cosinus.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"081108562 ";" ";niepubliczna;"Bez kategorii";"brak specyfiki";"ELŻBIETA POŁOMKA";"FUNDACJA RIDETON";Fundacje;ŁÓDZKIE;Łódź;Łódź-Śródmieście;2006-02-03;;samodzielna;;;
57368;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 2 W GORZOWIE WLKP.";"ul. Michała Drzymały";"26a ";" ";"66-400 ";"Gorzów Wielkopolski";04317;0935140;0861011;"957353800 ";" ";p2@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"080483223 ";"5993137013 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"STANISŁAWA ZINIAK";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2010-05-26;;samodzielna;;;
125990;"Szkoła policealna";"STUDIUM MEDYCZNE TEB EDUKACJA";"ul. gen. Władysława Sikorskiego";"48 ";" ";"66-400 ";"Gorzów Wielkopolski";19907;0935140;0861011;"957201737 ";" ";gorzow@teb-edukacja.pl;http://www.teb.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"360148198 ";" ";niepubliczna;"Bez kategorii";"brak specyfiki";"KATARZYNA GUTRY";"TEB EDUKACJA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Spółki Handlowe";WIELKOPOLSKIE;Poznań;"Poznań-Stare Miasto";2011-06-27;;samodzielna;;;
53995;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 12 IM. POD TOPOLĄ W GORZOWIE WLKP.";"ul. Sportowa";"2 ";" ";"66-400 ";"Gorzów Wielkopolski";20683;0935140;0861011;"957224193 ";" ";p12@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"080485156 ";"5993137378 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"ANNA ŚLĄZAK";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2010-05-26;;samodzielna;;;
55072;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 15 IM. BAŚNIOWY DOM W GORZOWIE WLKP.";"ul. Bohaterów Warszawy";"5 ";" ";"66-400 ";"Gorzów Wielkopolski";01679;0935140;0861011;"957385993 ";" ";p15@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"080478736 ";"5993136835 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"DOROTA ZAŁUCKA";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2010-05-26;;samodzielna;;;
107480;"Liceum ogólnokształcące";"ZAOCZNE LICEUM OGÓLNOKSZTAŁCĄCE COSINUS W GORZOWIE WLKP.";"ul. Franciszka Walczaka";"25 ";" ";"66-400 ";"Gorzów Wielkopolski";23519;0935140;0861011;"957258544 ";" ";gorzow@cosinus.pl;http://www.cosinus.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"081108533 ";" ";niepubliczna;Dorośli;"brak specyfiki";"ELŻBIETA POŁOMKA";"FUNDACJA RIDETON";Fundacje;ŁÓDZKIE;Łódź;Łódź-Śródmieście;2006-02-03;;samodzielna;;;
61814;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 30 W GORZOWIE WLKP.";"ul. Stanisława Taczaka";"1a ";" ";"66-400 ";"Gorzów Wielkopolski";22597;0935140;0861011;"957214209 ";" ";p30@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"080485104 ";"5993136798 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Brygida Jankiewicz";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2010-05-26;;samodzielna;;;
125980;"Szkoła policealna";"SZKOŁA EUROPEJSKA ""EUROCOLLEGE";"ul. gen. Władysława Sikorskiego";"48 ";" ";"66-400 ";"Gorzów Wielkopolski";19907;0935140;0861011;"957214023 ";" ";gorzow@teb-edukacja.pl;http://www.teb.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"360149890 ";" ";niepubliczna;"Bez kategorii";"brak specyfiki";"KATARZYNA GUTRY";"TEB EDUKACJA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Spółki Handlowe";WIELKOPOLSKIE;Poznań;"Poznań-Stare Miasto";1998-04-07;;samodzielna;;;
71571;"Zespół szkół i placówek oświatowych";"SZKOŁA MUZYCZNA I I II STOPNIA IM. TADEUSZA SZELIGOWSKIEGO W GORZOWIE WLKP.";"ul. Bolesława Chrobrego";"3 ";" ";"66-400 ";"Gorzów Wielkopolski";01742;0935140;0861011;"957227537 ";" ";sm1@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"000280784 ";"5991024859 ";publiczna;"Bez kategorii";"brak specyfiki";"ANETTA RAJEWSKA";"MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO";"Minister ds. kultury i dziedzictwa narodowego";MAZOWIECKIE;Warszawa;Śródmieście;1975-01-01;;zespół;;;
262598;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA NR 7  W GORZOWIE WLKP.";"ul. Ewarysta Estkowskiego";"3 ";" ";"66-400 ";"Gorzów Wielkopolski";04832;0935140;0861011;"957226454 ";" ";zso3@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"368039540 ";"5993207759 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";;"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2017-08-21;;"szkoła/placówka w zespole";"Zespół szkół i placówek oświatowych";12252;"ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 3 W GORZOWIE WLKP."
53994;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 11 IM. MARII KOWNACKIEJ W GORZOWIE WLKP.";"ul. Jacka Malczewskiego";"2 ";" ";"66-400 ";"Gorzów Wielkopolski";12037;0935140;0861011;"957213088 ";" ";p11@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"080481750 ";"5993136806 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Ewa LEWICKA-SUCHECKA";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2010-05-26;;samodzielna;;;
130545;"Poradnia psychologiczno-pedagogiczna";"NIEPUBLICZNA PORADNIA PSYCHOLOGICZNO - PEDAGOGICZNA MENTIS W GORZOWIE WLKP.";"ul. Saska";"8 ";" ";"66-400 ";"Gorzów Wielkopolski";19551;0935140;0861011;"600422299 ";" ";mentis66400@gmail.com;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"364163540 ";"5991488501 ";niepubliczna;"Bez kategorii";"brak specyfiki";"Urszula Onichowska";"URSZULA ONICHOWSKA";"Osoba fizyczna";LUBUSKIE;gorzowski;Witnica;2015-11-27;;samodzielna;;;
132524;"Niepubliczna placówka kształcenia ustawicznego i praktycznego";"NIEPUBLICZNA PLACÓWKA KSZTAŁCENIA USTAWICZNEGO P.W. ""JOANNA"" ANDRZEJ SKAWIŃSKI";"ul. Podmiejska";"17 B ";" ";"66-400 ";"Gorzów Wielkopolski";16816;0935140;0861011;"957362678 ";" ";aa.skawinski@gmail.com;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"365721372 ";" ";niepubliczna;"Bez kategorii";"brak specyfiki";"Hubert Kwintal";"ANDRZEJ SKAWIŃSKI";"Osoba fizyczna";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2016-10-24;;samodzielna;;;
266923;"Placówka Kształcenia Ustawicznego - bez szkół";"SEKA SPÓŁKA AKCYJNA W WARSZAWIE ODDZIAŁ W GORZOWIE WLKP.";"ul. Kosynierów Gdyńskich";"82 ";" ";"66-400 ";"Gorzów Wielkopolski";09503;0935140;0861011;"957374620 ";" ";gorzow@seka.pl;http://www.seka.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"369744513 ";" ";niepubliczna;"Bez kategorii";"brak specyfiki";"SŁAWOMIR KLUSEK";"""SEKA"" S. A.";"Spółki Handlowe";MAZOWIECKIE;Warszawa;Praga-Południe;2011-10-27;;samodzielna;;;
49087;"Liceum ogólnokształcące";"IV LICEUM OGÓLNOKSZTAŁCĄCE IM. TADEUSZA KOTARBIŃSKIEGO W GORZOWIE WLKP.";"ul. Kosynierów Gdyńskich";"8 ";" ";"66-400 ";"Gorzów Wielkopolski";09503;0935140;0861011;"957203060 ";" ";lo4.gorzow@wp.pl;http://www.4lo.gorzow.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"210203367 ";"5991101732 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Hanna Mickiewicz-Kędziora";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1994-01-01;;samodzielna;;;
83257;"Szkoła muzyczna I stopnia";"SZKOŁA MUZYCZNA I STOPNIA";"ul. Bolesława Chrobrego";"3 ";" ";"66-400 ";"Gorzów Wielkopolski";01742;0935140;0861011;"957227537 ";" ";sm1@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"081087481 ";" ";publiczna;"Bez kategorii";"brak specyfiki";;"MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO";"Minister ds. kultury i dziedzictwa narodowego";MAZOWIECKIE;Warszawa;Śródmieście;1975-01-01;;"szkoła/placówka w zespole";"Zespół szkół i placówek oświatowych";71571;"SZKOŁA MUZYCZNA I I II STOPNIA IM. TADEUSZA SZELIGOWSKIEGO W GORZOWIE WLKP."
68543;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA NR 12 IM. KORNELA MAKUSZYŃSKIEGO W GORZOWIE WLKP.";"ul. Dobra";"16 ";" ";"66-400 ";"Gorzów Wielkopolski";03928;0935140;0861011;"957226693 ";" ";sp12@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"210202965 ";"5991101264 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"DANUTA ŁUKASIEWICZ";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1994-01-01;;samodzielna;;;
110476;"Poradnia psychologiczno-pedagogiczna";"PORADNIA DIAGNOSTYCZNO-TERAPEUTYCZNA WIOLETTA MAŚLUK-GĄSIOROWSKA";"rondo marsz. Józefa Piłsudskiego";"47 ";" ";"66-400 ";"Gorzów Wielkopolski";30062;0935140;0861011;"600896893 ";" ";;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"081116969 ";" ";niepubliczna;"Bez kategorii";"brak specyfiki";"Wioletta Maśluk-Gąsiorowska";"Wioletta Maśluk - Gąsiorowska";"Osoba fizyczna";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2012-07-05;;samodzielna;;;
53985;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 10 IM. JASIA I MAŁGOSI W GORZOWIE WLKP.";"ul. Joachima Lelewela";"1 ";" ";"66-400 ";"Gorzów Wielkopolski";10793;0935140;0861011;"957213279 ";" ";p10@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"080488769 ";"5993137869 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"MARTA GÓRNA";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2010-05-26;;samodzielna;;;
12314;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ TECHNICZNYCH I OGÓLNOKSZTAŁCĄCYCH W GORZOWIE WLKP.";"ul. Czereśniowa";"4e ";" ";"66-400 ";"Gorzów Wielkopolski";03376;0935140;0861011;"957320309 ";"957320182 ";zstio@edu.gorzow.pl;http://www.zstio-gorzow.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"210203143 ";"5991174553 ";publiczna;"Bez kategorii";"brak specyfiki";"Marlena Młynarczyk";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1994-01-01;;zespół;;;
